T;110;4
T;1010;2
T;111;3
T;1100;1
T;111;3
T;111;3
T;111;3
T;11;3
T;111;3
T;101;1
T;11;3
T;1010;2
T;1011;2;P;8

T;1101;1
T;1100;1
T;1010;2
T;1010;2
T;111;3
T;1100;1
T;1011;2
T;11;3;P;10

T;1100;1
T;1110;4
T;1011;2
T;111;3
T;1101;1
T;1001;2
T;1010;2
T;101;1
T;1100;1;P;6

T;1010;2
T;101;1
T;1011;2
T;11;3
T;1011;2
T;11;3
T;111;3;P;9

T;1101;1
T;1101;1
T;1100;1;P;1

T;1011;2
T;1001;2
T;1101;1
T;1011;2
T;1110;4
T;1100;1;P;2

T;111;3
T;101;1
T;1001;2
T;1011;2
T;1001;2
T;1001;2
T;1010;2
T;1011;2
T;1011;2
T;111;3
T;1010;2
T;1011;2
T;101;1
T;1010;2
T;11;3
T;101;1;P;4

T;1010;2
T;1101;1;P;11

T;11;3
T;101;1
T;1110;4
T;1010;2
T;101;1
T;1011;2
T;1100;1
T;101;1
T;1011;2
T;1001;2
T;1010;2
T;1100;1
T;1011;2
T;1100;1
T;1100;1
T;11;3
T;101;1
T;1100;1;P;5

T;1001;2
T;101;1
T;1100;1
T;1011;2
T;1100;1;P;12

T;11;3
T;1110;4
T;101;1;P;7

T;1001;2
T;1010;2
T;1001;2
T;1010;2
T;101;1
T;1010;2
T;1001;2;P;3

T;1010;2
T;1011;2
T;1100;1
T;1101;1
T;1001;2
T;1100;1
T;101;1
T;101;1
T;11;3
T;1010;2
T;1010;2
T;101;1
T;1001;2
T;1100;1
T;101;1
T;1101;1
T;1010;2
T;1101;1
T;101;1
T;1101;1
T;101;1
T;1101;1
T;101;1
T;1001;2
OT;110;4
OT;1010;2
OT;111;3
OT;1100;1
OT;111;3
OT;111;3
OT;111;3
OT;11;3
OT;111;3
OT;101;1
OT;11;3
OT;1010;2
OT;1011;2;P;8

OT;1101;1
OT;1100;1
OT;1010;2
OT;1010;2
OT;111;3
OT;1100;1
OT;1011;2
P;6;1;0;alois;P;2

P;3;4;0;honza;P;5

P;2;1;0;maPek;P;1

P;8;3;0;jaPda;P;6

P;5
P;1
P;8
P;7
P;2
P;6
P;4
P;9
P;3
P;10
P;12
P;11
CP;8
CP;10
CP;7
CP;11
CP;9
CP;12
CP;4
CP;3
B;1;0;6
S;11
A;2
IT;101;1
ST;1
